;Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;ame_ME;ame_BE/A;ame_AM;ame_BE;ame_S2p;ame_S2n;BE_diff_dz_ame;Surf;Asym;Coul;Pair;Z_parity;N_parity;Z_distance;N_distance;N-Z;ame_AM_unc;ame_BDE;ame_BDE_unc;ame_BE/A_unc;ame_ME_unc;rescaled_Asym;rescaled_Coul;rescaled_N;rescaled_N_distance;rescaled_N_parity;rescaled_Pair;rescaled_Surf;rescaled_Z;rescaled_Z_distance;rescaled_Z_parity;rescaled_ame_BE
2393;77.0;104.0;7.95747185;-39.6236572;181.0;1440.30240485;9.473156450000031;2.5922820500002217;7.832105619999993;17.564833240000098;-39.463035000000005;7.9565242;180.957634691;1440.1308802;-8.61907520000008;17.523940999999876;-0.1715246500002649;31.997721191890317;4.027624309392265;1034.534057541117;0.0743294146247166;-1.0;1.0;5.0;22.0;27.0;5.631;-5081.5379;14.6597;0.029;5.245;0.2626459977684701;0.49769826895826585;0.5875706214689266;0.7586206896551724;1.0;0.017102935026248003;0.7156394203615591;0.652542372881356;0.2272727272727273;0.0;0.6909165175022121
2394;77.0;105.0;7.95653915;-39.3398438;182.0;1448.0901253;7.787720449999824;3.021559669999988;8.341351299999815;17.260876899999857;-39.051682;7.9548948;181.958076296;1447.7908536;-7.959151199999964;17.216787599999922;-0.2992716999999629;32.11546826178415;4.307692307692308;1032.635825648137;0.0741249316661101;-1.0;-1.0;5.0;21.0;28.0;22.509;-2883.262;24.7202;0.1152;20.967;0.28090955295781506;0.4967850590737474;0.5932203389830508;0.7241379310344828;0.0;0.0168858105944827;0.7183578280898711;0.652542372881356;0.2272727272727273;0.0;0.6945741894480095
2395;77.0;106.0;7.96290064;-40.3892822;183.0;1457.21081712;9.120691820000047;3.1271897599999647;8.900454609999997;16.90841226999987;-40.202138;7.961817600000001;182.956841231;1457.0126208;-7.172227500000037;16.881740600000136;-0.1981963199998517;32.232999873805014;4.595628415300546;1030.7514495164316;0.0739221270954572;-1.0;1.0;5.0;20.0;29.0;26.486;-4428.9417;28.4743;0.1348;24.672;0.2996861965737502;0.4958785149808008;0.5988700564971752;0.6896551724137931;1.0;0.016670468311377543;0.7210712615768068;0.652542372881356;0.2272727272727273;0.0;0.6989776249975528
2396;77.0;107.0;7.9602561;-39.7941895;184.0;1464.6871224;7.476305279999906;3.568836209999972;9.414809359999936;16.596997099999953;-39.610855;7.9591992;183.957476;1464.4926528;-6.173659999999916;16.701799200000007;-0.1944696000000476;32.35031759636025;4.891304347826087;1028.8807531190232;0.0737209780774485;-1.0;-1.0;5.0;19.0;30.0;30.0;-2278.3688;31.5957;0.1519;27.945;0.31896756304410284;0.49497855199558066;0.6045197740112994;0.6551724137931034;0.0;0.016456883929906727;0.7237797570319351;0.652542372881356;0.2272727272727273;0.0;0.7025493741109463
2397;77.0;108.0;7.96459484;-40.4857178;185.0;1473.4500454;8.762923000000228;3.667712760000086;9.978761680000162;16.239228280000134;-40.335558;7.9637226;184.956698;1473.288681;-5.0481875;16.27606019999995;-0.1613644000001386;32.46742297798574;5.194594594594594;1027.0235636063385;0.0735214622093807;-1.0;1.0;5.0;18.0;31.0;30.0;-3647.4137;38.0554;0.1511;27.945;0.33874546767393654;0.4940850869628416;0.6101694915254238;0.6206896551724138;1.0;0.016245033662394964;0.7264833502060556;0.652542372881356;0.2272727272727273;0.0;0.7067495173623033
2398;77.0;109.0;7.96024179;-39.5693359;186.0;1480.6049729400002;7.154927540000017;4.120335540000042;10.49643038000022;15.917850540000243;-39.17235;7.9580473;185.957946754;1480.1967978;-4.319664000000106;15.704145000000018;-0.4081751400001394;32.584317547703584;5.505376344086022;1025.1797112320507;0.0733235575106766;-1.0;-1.0;5.0;17.0;32.0;17.74;-1307.903;27.3122;0.0888;16.526;0.35901190178325976;0.49319803822026204;0.615819209039548;0.5862068965517241;0.0;0.016034894169389552;0.7291820763994564;0.652542372881356;0.2272727272727273;0.0;0.7100481743808319
2399;77.0;110.0;7.96257257;-39.894043;187.0;1489.00107059;8.396097649999774;4.2119774299999335;11.064680839999935;15.551025189999793;-39.549377;7.9606692;186.957542;1488.6451404000002;-3.231864899999928;15.35645940000005;-0.3559301899999809;32.70100281537152;5.823529411764706;1023.3490292810382;0.073127242412713;-1.0;1.0;5.0;16.0;33.0;30.0;-2864.0151;36.8802;0.1494;27.945;0.3797590280007436;0.4923173255637859;0.6214689265536724;0.5517241379310345;1.0;0.015826442548859523;0.7318759704699812;0.652542372881356;0.2272727272727273;0.0;0.7140822961855507
2400;77.0;111.0;7.95652676;-38.6485596;188.0;1495.82703088;6.825960290000012;4.677087189999838;11.587913679999929;15.222057939999786;-38.344955;7.9548512;187.958834999;1495.5120256;-2.2366171999999787;15.315227799999994;-0.315005279999923;32.817480272024206;6.148936170212766;1021.531353999392;0.0729324957489472;-1.0;-1.0;5.0;15.0;34.0;10.116;-523.986;8.6863;0.0501;9.423;0.4009791757076409;0.49144287021395067;0.6271186440677966;0.5172413793103449;0.0;0.015619656325711662;0.7345650668409082;0.652542372881356;0.2272727272727273;0.0;0.7173612649285821
2401;77.0;112.0;7.9568615;-38.5970459;189.0;1503.8468235;8.01979262000009;4.761901139999964;12.15919310000004;14.8457529100001;-38.449652;7.9560214;188.958722602;1503.6880446;-1.0941399000000671;15.042904199999755;-0.1587789000000157;32.93375139020674;6.481481481481482;1019.7265245264016;0.0727392967453307;-1.0;1.0;5.0;14.0;35.0;13.5;-1980.247;13.6363;0.0665;12.576;0.4226648366263421;0.49057459478316673;0.6327683615819208;0.48275862068965514;1.0;0.015414513441611558;0.7372493995086498;0.652542372881356;0.2272727272727273;0.0;0.7212653509825372
2402;77.0;113.0;7.95134211;-37.4337158;190.0;1510.7550009;6.908177399999886;5.155391399999871;12.529419019999978;14.927970019999975;-36.753614;7.9477017;189.960543374;1510.063323;-0.3940979999999981;14.551297399999807;-0.6916779000000588;33.0498176243004;6.821052631578947;1017.9343828284526;0.0725476250110011;-1.0;-1.0;5.0;13.0;36.0;1.47;552.8893;1.2822;0.0072;1.37;0.4448086605482394;0.4897124232439164;0.6384180790960452;0.4482758620689655;0.0;0.015210992245100141;0.7399290020502737;0.652542372881356;0.2272727272727273;0.0;0.7243095752549517
2403;77.0;114.0;7.94966316;-36.993042;191.0;1518.38566356;7.630662660000098;5.235676560000002;13.108962450000035;14.538840059999984;-36.708826;7.948114400000001;190.960591455;1518.0898504000002;0.793719599999953;14.401805800000206;-0.2958131599998523;33.16568041084109;7.167539267015707;1016.1547736347752;0.0723574605292421;-1.0;1.0;5.0;12.0;37.0;1.406;-1010.4903;3.636;0.0069;1.31;0.467403451195796;0.48885628089784355;0.6440677966101694;0.41379310344827586;1.0;0.01500907148199479;0.7426039076308538;0.652542372881356;0.2272727272727273;0.0;0.7281422783937321
2404;77.0;115.0;7.94071531;-35.1533203;192.0;1524.61733952;6.231675959999848;5.724292099999957;13.643813919999957;13.862338619999946;-34.835631;7.9389999;191.962602414;1524.2879808;1.6821119999999643;14.22465780000016;-0.3293587199998455;33.28134116883046;7.520833333333333;1014.3875443749786;0.0721687836487032;-1.0;-1.0;5.0;11.0;38.0;1.41;1452.8946;2.2739;0.0068;1.314;0.4904421622139233;0.4880060943457027;0.6497175141242938;0.3793103448275862;0.0;0.014808730286066094;0.7452741490106538;0.652542372881356;0.2272727272727273;0.0;0.7311019136948775
2405;77.0;116.0;7.93812037;-34.5218506;193.0;1532.05723141;7.439891890000126;5.797710130000041;14.226948100000072;13.671567849999974;-34.536305;7.938134600000001;192.962923753;1532.0599778;2.739982400000095;13.970127399999882;0.0027463900000839;33.39680130004011;7.880829015544041;1012.6325451183149;0.0719815750748694;-1.0;1.0;5.0;10.0;39.0;1.425;-56.6276;0.2997;0.0069;1.327;0.5139178932859804;0.48716179145813937;0.655367231638418;0.3448275862068966;1.0;0.014609948169980416;0.7479397585521501;0.652542372881356;0.2272727272727273;0.0;0.7348130774163759
2406;77.0;117.0;7.92850828;-32.5239258;194.0;1538.13060632;6.073374909999984;6.296731879999925;14.764884080000002;13.51326680000011;-32.531776;7.9284885;193.965075703;1538.1267690000002;3.780769000000088;13.838788200000067;-0.0038373200000023;33.51206218930888;8.24742268041237;1010.8896285146168;0.0717958158617738;-1.0;-1.0;5.0;9.0;40.0;1.429;2228.3252;1.2569;0.0069;1.332;0.5378238863698961;0.4863233013472764;0.6610169491525424;0.3103448275862069;0.0;0.014412705016499994;0.7506007682268948;0.652542372881356;0.2272727272727273;0.0;0.7377099976554529
2407;77.0;118.0;7.9249649;-31.6900635;195.0;1545.3681555;7.237549180000087;6.3637324399999216;15.3516810000001;13.310924090000071;-31.692318;7.924916;194.965976898;1545.3586200000002;4.663620000000112;13.29864220000012;-0.0095354999998562;33.62712520483358;8.62051282051282;1009.1586497368522;0.0716114874039432;-1.0;1.0;5.0;8.0;41.0;1.431;1101.5601;1.2637;0.0068;1.333;0.5621535220501036;0.48549055433907784;0.6666666666666666;0.27586206896551724;1.0;0.01421698106993062;0.7532572096222286;0.652542372881356;0.2272727272727273;0.0;0.7411632392187836
2408;77.0;119.0;7.91464233;-29.5203857;196.0;1551.26989668;5.9017411800000446;6.873414480000065;15.893390020000195;13.139290360000132;-29.435522;7.9141487;195.968399669;1551.1731452;5.517145199999912;13.046376199999823;-0.0967514799999662;33.74199169845321;9.0;1007.4394664252462;0.0714285714285714;-1.0;-1.0;5.0;7.0;42.0;41.239;3209.0164;38.4111;0.196;38.414;0.5869003160011492;0.4846634819464667;0.672316384180791;0.24137931034482757;0.0;0.01402275692781113;0.7559091139478415;0.652542372881356;0.2272727272727273;0.0;0.7439397013018205
2409;77.0;120.0;7.91011143;-28.4711914;197.0;1558.29195171;7.02205502999982;6.9335473099999945;16.48263591;12.923796209999864;-28.264123;7.9090003;196.969657217;1558.0730591;6.304059099999955;12.714439099999844;-0.2188926100000117;33.856663005926926;9.385786802030458;1005.7319386329158;0.0712470499879096;-1.0;1.0;5.0;6.0;43.0;21.588;2155.6519;20.1061;0.1021;20.11;0.6120579155590101;0.48384201684317096;0.6779661016949152;0.20689655172413793;1.0;0.013830013532833363;0.7585565120421911;0.652542372881356;0.2272727272727273;0.0;0.7472344413984962
2410;77.0;121.0;7.89903069;-26.1157227;198.0;1564.00807662;5.71612491000019;7.452268180000146;17.02715581999996;12.738179940000007;-25.71;7.897;197.972399;1563.606;7.128;12.432854800000088;-0.4020766200001162;33.97114044720589;9.77777777777778;1004.0359287729744;0.0710669054518701;-1.0;-1.0;5.0;5.0;44.0;215.0;4194.0;200.0;1.0;200.0;0.6376200963963105;0.4830260928382762;0.6836158192090396;0.1724137931034483;0.0;0.013638732164988551;0.7611994343787784;0.652542372881356;0.2272727272727273;0.0;0.749876445704632
2411;77.0;122.0;7.89347935;-24.8387451;199.0;1570.80239065;6.794314029999896;7.506005230000028;17.618447999999944;12.510438940000084;-24.398534;7.8912066;198.973807097;1570.3501134;8.200113400000147;12.277054300000191;-0.4522772499999519;34.08542532669918;10.175879396984923;1002.3513015670536;0.0708881205008336;-1.0;1.0;5.0;4.0;45.0;44.073;2990.1656;41.003;0.2063;41.054;0.6635807592977817;0.4822156448514602;0.6892655367231638;0.13793103448275862;1.0;0.013448894433930048;0.7638379110722866;0.652542372881356;0.2272727272727273;0.0;0.7530967903578467
2412;77.0;123.0;7.88159609;-22.2841797;200.0;1576.319218;5.516827350000085;8.035035039999912;18.16611622000005;12.31114137999998;-21.57;7.878;199.976844;1575.6;44.24327989999996;11.994;-0.7192180000001827;34.19951893353393;10.58;1000.6779239952032;0.0707106781186547;-1.0;-1.0;5.0;3.0;46.0;210.0;5030.0;197.0;1.0;196.0;0.6899339270324621;0.4814106088888907;0.6949152542372882;0.10344827586206896;0.0;0.01326048227154629;0.7664719718845873;0.652542372881356;0.2272727272727273;0.0;0.7556036349554321
2413;77.0;124.0;7.87498426;-20.7653809;201.0;1582.87183626;6.552618259999917;8.081644260000076;18.75932811000007;12.069445610000002;-19.84;7.87;200.978701;1581.87;41.80415999999992;11.519886599999852;-1.001836259999891;34.3134225418098;10.99004975124378;999.0156652471192;0.0705345615858598;-1.0;1.0;5.0;2.0;47.0;215.0;3901.0;206.0;1.0;200.0;0.7166737413192584;0.4806109220197619;0.7005649717514124;0.06896551724137931;1.0;0.013073477924738314;0.769101646230615;0.652542372881356;0.2272727272727273;0.0;0.7585975883156553
2414;77.0;125.0;7.86225128;-17.9970703;202.0;1588.17475856;5.302922299999864;8.619995150000022;19.309268559999964;11.85554055999978;-16.64;7.855;201.982136;1586.71;45.15842920000013;11.11;-1.4647585599998365;34.42713741084797;11.405940594059404;997.3643966746652;0.0703597544730291;-1.0;-1.0;5.0;1.0;48.0;322.0;6052.0;301.0;1.0;300.0;0.7437944598826444;0.4798165223534533;0.7062146892655368;0.034482758620689655;0.0;0.012887863948392544;0.7717269631841159;0.652542372881356;0.2272727272727273;0.0;0.7609087102077575
2415;77.0;126.0;7.85454273;-16.2230225;203.0;1594.47217419;6.29741563000016;8.66026821000014;19.90476347999993;11.600337930000023;-14.37;7.845;202.984573;1592.535;40.050183200000085;10.665;-1.937174190000178;34.540664785434856;11.827586206896552;995.7239917456396;0.0701862406343596;-1.0;1.0;5.0;0.0;49.0;429.0;5140.0;447.0;2.0;400.0;0.77129045359538;0.4790273490172878;0.711864406779661;0.0;1.0;0.012703623198545844;0.7743479514832747;0.652542372881356;0.2272727272727273;0.0;0.7636901740551738
2416;77.0;127.0;7.83121681;-11.2476807;204.0;1597.56822924;3.0960550499999044;9.086008530000072;20.226704420000036;9.393470680000064;-9.57;7.823;203.989726;1595.892;26.35503239999991;9.182;-1.6762292399998842;34.65400589606056;12.254901960784316;994.0943259987572;0.0700140042014004;-1.0;-1.0;5.0;1.0;50.0;429.0;8050.0;447.0;2.0;400.0;0.7991562037052687;0.4782433421348737;0.7175141242937854;0.034482758620689655;0.0;0.01252073882573354;0.7769646395362189;0.652542372881356;0.2272727272727273;0.0;0.7652931567394272
2417;77.0;128.0;7.8131609;-7.30615234;205.0;1601.6979844999998;4.129755259999911;9.001956619999874;20.5990260399999;7.225810309999815;-5.6;7.805;204.993988;1600.025;22.14760759999999;7.49;-1.672984499999984;34.76716195915227;12.68780487804878;992.4752769998008;0.0698430295769578;-1.0;1.0;5.0;2.0;51.0;537.0;7220.0;583.0;2.0;500.0;0.8273862991430835;0.4774644428050107;0.7231638418079096;0.06896551724137931;1.0;0.012339194268517775;0.779577055426408;0.652542372881356;0.2272727272727273;0.0;0.7672666829336542
2418;78.0;87.0;7.69737959;0.686767578;165.0;1270.06763235;10.540544270000057;-0.0023203700000067;-1.6736863900000571;23.348536519999925;-0.318;7.703;164.999658;1270.995;-23.1;-324.897;0.9273676500001784;30.08310291760778;0.4909090909090909;1095.0249462009235;0.0778498944161523;1.0;-1.0;4.0;5.0;9.0;429.0;0.0;0.0;2.0;400.0;0.0320127445091536;0.5267994960800577;0.4915254237288136;0.1724137931034483;0.0;0.020841056674456918;0.6714369351679162;0.6610169491525424;0.18181818181818182;1.0;0.6101533696777942
