;N-Z;N;Z;A;Mass_excess;ME_unc;BE/A;BE/A_unc;Beta_decay_Energy;BDE_unc;Atomic_Mass;AM_unc;S2n;S2z
972;10.0;51.0;41.0;92.0;-86453.29;1.784;8662.3731;0.0194;355.2968;1.7911;91.90718858;1.915;2667.6412000000273;-2852.432399999954
973;8.0;50.0;42.0;92.0;-86808.587;0.157;8657.7312;0.0017;-7882.8841;3.1063;91.906807153;0.168;5584.648399999984;-4805.960399999989
974;6.0;49.0;43.0;92.0;-78925.703;3.102;8563.544;0.0337;-4624.4922;4.1246;91.915269777;3.33;7376.927999999934;-6424.6360000000495
975;4.0;48.0;44.0;92.0;-74301.211;2.718;8504.774;0.0295;-11302.1155;5.1531;91.920234373;2.917;8740.51519999987;-8487.414000000084
976;2.0;47.0;45.0;92.0;-62999.095;4.378;8373.4211;0.0476;-8220.0;345.0;91.932367692;4.7;10986.74119999996;-10114.378800000093
977;0.0;46.0;46.0;92.0;-54779.095;345.028;8275.5695;3.7503;-17249.0;528.0;91.941192225;370.402;14956.393999999964;-12346.298800000113
978;-2.0;45.0;47.0;92.0;-37530.0;400.0;8080.0;4.0;0.0;0.0;91.95971;429.0;0.0;-16008.0
979;25.0;59.0;34.0;93.0;-40860.0;400.0;8225.0;4.0;12030.0;588.0;92.956135;429.0;-10214.952600000013;0.0
980;23.0;58.0;35.0;93.0;-52890.235;430.816;8345.5986;4.6324;11245.7673;430.8234;92.94322;462.5;-8958.280800000011;14563.66979999994
981;21.0;57.0;36.0;93.0;-64136.002;2.515;8458.1085;0.027;8483.8977;8.2243;92.931147172;2.7;-7778.836199999909;11464.137900000012
982;19.0;56.0;37.0;93.0;-72619.9;7.83;8540.9209;0.0842;7465.9434;8.8761;92.922039334;8.406;-6197.631600000002;9206.693099999971
983;15.0;54.0;39.0;93.0;-84227.155;10.488;8648.9054;0.1128;2894.8723;10.483;92.909578434;11.259;-3351.4131000000525;3844.926900000042
984;13.0;53.0;40.0;93.0;-87122.028;0.456;8671.6207;0.0049;90.8123;1.4838;92.906470661;0.489;-2017.5605999999916;720.2664000000368
985;11.0;52.0;41.0;93.0;-87212.84;1.49;8664.1849;0.016;-405.7609;1.5012;92.90637317;1.599;-624.3462000000509;-1930.419600000001
986;9.0;51.0;42.0;93.0;-86807.079;0.181;8651.4095;0.002;-3200.9629;1.004;92.906808772;0.193;3513.6236999999765;-3897.202199999967
987;7.0;50.0;43.0;93.0;-83606.116;1.012;8608.5782;0.0109;-6389.3929;2.2995;92.910245147;1.086;6688.783199999951;-5795.769300000076
988;5.0;49.0;44.0;93.0;-77216.723;2.065;8531.4627;0.0222;-8204.9136;3.3425;92.917104442;2.216;8233.661999999968;-7641.428699999997
989;3.0;48.0;45.0;93.0;-69011.81;2.629;8434.8255;0.0283;-10030.0;370.0;92.925912778;2.821;9934.771500000077;-9470.217899999965
990;1.0;47.0;46.0;93.0;-58981.81;370.009;8318.5637;3.9786;-12582.0;545.0;92.936680426;397.221;12607.424100000057;-11565.94499999998
991;-1.0;46.0;47.0;93.0;-46400.0;401.0;8175.0;4.0;0.0;0.0;92.950188;430.0;0.0;-14229.0
992;26.0;60.0;34.0;94.0;-36803.0;500.0;8180.0;5.0;10846.0;539.0;93.96049;537.0;-10340.0;0.0
993;24.0;59.0;35.0;94.0;-47650.0;200.0;8287.0;2.0;13698.0;201.0;93.948846;215.0;-9203.756199999996;15604.0
994;22.0;58.0;36.0;94.0;-61347.78;12.109;8424.3318;0.1288;7215.0114;12.2782;93.934140452;13.0;-8304.260799999938;12627.189199999993
995;20.0;57.0;37.0;94.0;-68562.791;2.029;8492.7644;0.0216;10282.9297;2.623;93.926394819;2.177;-7205.8614000000525;10138.097400000006
996;16.0;55.0;39.0;94.0;-82351.473;6.38;8622.8068;0.0679;4917.8589;6.3799;93.911592062;6.849;-3645.564400000043;5018.124199999973
