Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;N-Z;ame_ME;ame_ME_unc;ame_BE/A;ame_BE/A_unc;ame_BDE;ame_BDE_unc;ame_AM;ame_AM_unc;ame_BE;ame_S2p;ame_S1p;ame_S2n;ame_S1n;Difference_BE_DZ_AME;Surf;Asym;Coul;Pair;Z_parity;N_parity;ldm_BE;Z_distance;N_distance;rescaled_ame_BE;rescaled_N;rescaled_Z;rescaled_Surf;rescaled_Asym;rescaled_Coul;rescaled_Pair;rescaled_Z_parity;rescaled_N_parity;rescaled_Z_distance;rescaled_N_distance;rescaled_ame_S1p;rescaled_ame_S1n;rescaled_ame_S2p;rescaled_ame_S2n
34;39;8.64984894;-68.828125;73;631.43897262;9.288154859999963;7.442107979999946;12.969587509999885;21.6591277;5;-68.227396;7.424;8.6415591;0.1017;-4581.6095;10.0278;72.926754881;7.969;630.8338143000001;12.898676500000176;7.286555100000114;21.22351170000003;8.430519900000071;-0.6051583199998731;17.466876118408518;0.3424657534246575;268.46349321718304;0.1170411471961305;1;-1;634.7223546389515;6;11;0.30447350795355416;0.22033898305084745;0.288135593220339;0.3801681293793466;0.022332584322722573;0.12915361739782139;0.062455177225201094;1.0;0.0;0.2727272727272727;0.3793103448275862;0.9047064437748438;0.9459487027799993;0.849284128001466;0.9412200918593774
34;40;8.69098759;-72.4508057;74;643.13308166;11.694109040000058;8.137731540000004;14.132150780000076;20.98226390000002;6;-72.21321;0.015;8.6877155;0.0003;-6925.0492;5.8354;73.922475933;0.015;642.8909470000001;14.205242200000097;8.549424300000071;20.48765260000003;12.057132699999958;-0.2421346599999196;17.626028979376553;0.4864864864864865;267.24870966027703;0.1162476387438192;1;1;644.963332214291;6;10;0.31023084335416373;0.22598870056497175;0.288135593220339;0.38384246596902616;0.03172434140546753;0.12856920389396045;0.061612612773947154;1.0;1.0;0.2727272727272727;0.3448275862068966;0.9095640691624548;0.9561146021114584;0.8538275601661026;0.9392190392020363
34;41;8.68697071;-72.7692261;75;651.52280325;8.389721590000022;8.543921310000087;15.27710986000011;20.08383063000008;7;-72.169489;0.073;8.6789139;0.001;-3062.4694;4.2855;74.92252287;0.078;650.9185425;15.449892500000075;8.598394499999937;20.08472819999989;8.027595499999938;-0.604260750000094;17.784466522450312;0.6533333333333333;266.05561917585675;0.1154700538379251;1;-1;654.6700085859424;6;9;0.3140640565155253;0.23163841807909605;0.288135593220339;0.38750028812914283;0.04260461553193528;0.12799522659038293;0.060786956288966215;1.0;0.0;0.2727272727272727;0.3103448275862069;0.9097524329983578;0.9448192497298722;0.8581556886381303;0.938123349903191
34;42;8.71074581;-75.1917114;76;662.01668156;10.493878310000014;9.25104956000007;16.389941980000117;18.88359990000004;8;-75.251959;0.016;8.7114781;0.0003;-4962.881;9.3218;75.919213702;0.017;662.0723356;16.40745419999992;9.506725600000005;19.18138859999995;11.15379310000001;0.0556540399999221;17.942201436929967;0.8421052631578947;264.8835527925714;0.1147078669352808;1;1;663.8636118926428;6;8;0.31939004317118397;0.23728813559322035;0.288135593220339;0.39114188881553563;0.05491464945039992;0.12743136365536098;0.05997764973714703;1.0;1.0;0.2727272727272727;0.27586206896551724;0.9132463278623051;0.9535824157595765;0.8614854994753531;0.935666860465116
34;43;8.69746208;-74.8082275;77;669.70458016;7.687898599999926;9.57301095999992;17.424106660000007;18.18177690999994;9;-74.599497;0.062;8.6946908;0.0008;-1364.6792;2.8099;76.91991415;0.067;669.4911916;17.320471600000047;9.597084400000051;18.57264910000004;7.418856000000029;-0.2133885599999985;18.099246023352887;1.051948051948052;263.7318706259993;0.1139605764596379;1;-1;672.5642668016978;6;7;0.3229325804678685;0.24293785310734464;0.288135593220339;0.3947675520087391;0.06859873823390056;0.12687730725043664;0.05918416053397174;1.0;0.0;0.2727272727272727;0.24137931034482757;0.9135938929156568;0.9431128683714647;0.8646604126251731;0.934011489492462
34;44;8.71426678;-76.7450562;78;679.7128088400001;10.008228680000116;10.2903574500001;18.488687960000107;17.69612728000004;10;-77.025952;0.179;8.7178072;0.0023;-3573.7836;3.575;77.917309244;0.191;679.9889615999999;18.39099519999989;10.398586299999966;17.91662599999993;10.4977699999999;0.2761527599998317;18.25561221028858;1.2820512820512822;262.5999602556896;0.1132277034144595;1;1;680.791065215948;6;6;0.3279453131259786;0.2485875706214689;0.288135593220339;0.3983775531017253;0.08360403361839733;0.12633276274964172;0.058405980070548896;1.0;1.0;0.2727272727272727;0.20689655172413793;0.9166768693455659;0.9517434919037645;0.868383035496141;0.9322275382339502
34;45;8.69652081;-75.9860229;79;687.0251439900001;7.312335149999967;10.558417469999997;19.474939130000053;17.320563830000083;11;-75.917466;0.223;8.6955923;0.0028;150.6016;1.0186;78.918499252;0.238;686.9517917000001;19.28253560000006;10.38946370000008;17.46060010000004;6.962830100000137;-0.0733522900000025;18.41131157020244;1.5316455696202531;261.48723521224235;0.1125087900926024;1;-1;688.5621316138715;6;5;0.3312700959927343;0.2542372881355932;0.288135593220339;0.4019721592661479;0.09988036320132075;0.12579744801165574;0.05764262234352617;1.0;0.0;0.2727272727272727;0.1724137931034483;0.9166417792718192;0.9418345644422619;0.8714832648450623;0.9309874477886311
34;46;8.70757866;-77.4957886;80;696.6062927999999;9.581148809999831;11.282709269999827;20.489332319999903;16.8934839599998;12;-77.759487;0.947;8.710814200000002;0.0118;-1870.4623;0.3095;79.916521761;1.016;696.865136;20.47537520000001;11.412377199999987;16.876174400000135;9.913344299999997;0.2588432000001148;18.566355334451117;1.8;260.3931335656769;0.1118033988749894;1;1;695.8946834921305;6;4;0.33600376273564253;0.2598870056497175;0.288135593220339;0.40555162979853737;0.11738006320022985;0.12527109270069164;0.05689362267949451;1.0;1.0;0.2727272727272727;0.13793103448275862;0.9205764152475242;0.9501052655033843;0.8756312275582213;0.9293981943568215
34;47;8.68631649;-76.409729;81;703.59163569;6.985342890000084;11.497671689999947;21.425035149999985;16.566491699999915;13;-76.389019;0.977;8.6859998;0.0121;1588.0317;1.3787;80.917993019;1.049;703.5659837999999;21.439780699999886;11.463391799999982;16.61419209999987;6.700847799999872;-0.0256518900000628;18.720754407467133;2.08641975308642;259.3171166071374;0.1111111111111111;1;-1;702.8050873335494;6;3;0.3392034478691599;0.2655367231638418;0.288135593220339;0.40911621644777957;0.13605782359971774;0.12475343765228492;0.056158536546280766;1.0;0.0;0.2727272727272727;0.10344827586206896;0.9207726428664247;0.9411001916720486;0.878984836923944;0.928685774849348
34;48;8.69262886;-77.5422974;82;712.79556652;9.20393082999999;12.22570306;22.386401719999867;16.189273720000074;14;-77.593895;0.466;8.6931973;0.0057;-95.2184;1.0767;81.916699531;0.5;712.8421786;22.636522600000024;12.349553500000038;15.977042599999928;9.276194800000056;0.0466120800000453;18.874519380186243;2.3902439024390243;258.2586676166948;0.1104315260748465;1;1;709.3089104822623;6;2;0.34363287284388805;0.2711864406779661;0.288135593220339;0.4126661637251105;0.1558705446290315;0.1242442342805023;0.05543693844421539;1.0;1.0;0.2727272727272727;0.06896551724137931;0.9241812631506544;0.9483192469694814;0.8831463694371803;0.9269531473665888
34;49;8.66862202;-76.1710815;83;719.4956276600001;6.700061140000116;12.387797620000129;23.26885703000005;15.903991970000106;15;-75.34054300000001;3.036;8.658556;0.0366;3673.178;4.8392;82.919118604;3.259;718.660148;23.62679330000002;12.524093400000012;15.094164200000115;5.81796940000006;-0.8354796600000327;19.02766054276645;2.710843373493976;257.21729071065016;0.1097642599896903;1;-1;715.4209692710036;6;1;0.3464109795480038;0.2768361581920904;0.288135593220339;0.4162017091977586;0.17677720361480398;0.12374324402339716;0.054728420871097666;1.0;0.0;0.2727272727272727;0.034482758620689655;0.9248526307391514;0.938625360905357;0.886589922065324;0.9245522989318427
34;50;8.67102623;-76.9702148;84;728.3662033200001;8.870575659999986;13.116606660000116;24.17457782000008;15.570636800000102;16;-75.947731;1.961;8.6587935;0.0233;1835.3638;25.7652;83.918466761;2.105;727.338654;25.110604599999963;13.567371999999974;14.496475399999996;8.678505999999937;-1.0275493200000485;19.180187896644355;3.0476190476190474;256.1925097623211;0.1091089451179962;1;1;721.1553737126706;6;0;0.35055500541728885;0.2824858757062147;0.288135593220339;0.4197230837672874;0.19873873134430448;0.1232502378238168;0.054032593355134564;1.0;1.0;0.2727272727272727;0.0;0.9288656010560387;0.9466438422578614;0.8917497054475692;0.9229269785933386
34;51;8.61910439;-73.1564941;85;732.62387315;4.257669829999941;13.303297189999968;25.16961574000004;13.128245489999928;17;-72.413645;2.613;8.6103045;0.0307;6161.8335;4.0313;84.922260758;2.804;731.8758825000001;26.0151479000001;13.849048500000034;13.21573450000002;4.537228500000085;-0.747990649999906;19.3321111659706;3.4;255.18386739081197;0.108465228909328;1;-1;726.5255690389307;6;1;0.35272155254865656;0.288135593220339;0.288135593220339;0.423230511933604;0.2217178971559897;0.12276499564291538;0.05334908155064151;1.0;0.0;0.2727272727272727;0.034482758620689655;0.9299490694924324;0.9350352662972194;0.8948951508878769;0.9194442058977093
34;52;8.59092712;-71.2809448;86;738.81973232;6.195859169999949;14.120187320000014;26.210899160000054;10.45352899999989;18;-70.503175;2.52;8.581822399999998;0.0293;5129.086;3.9717;85.924311732;2.705;738.0367263999999;26.9326767999999;14.602992899999954;10.698072399999946;6.160843899999862;-0.7830059200000505;19.483439808463515;3.767441860465116;254.190924012745;0.1078327732034384;1;1;731.5443743423601;6;2;0.355663383377399;0.2937853107344633;0.288135593220339;0.4267242120455356;0.24567920204699267;0.12228730600395647;0.052677526391747956;1.0;1.0;0.2727272727272727;0.06896551724137931;0.9328491160358804;0.9395864857462339;0.8980857522608066;0.9125978212630799
34;53;8.53444958;-66.8870239;87;742.49711346;3.67738114000008;14.278111800000032;27.19714981000004;9.873240310000028;19;-66.42613300000001;2.241;8.529092;0.0258;7465.5526;3.8766;86.928688616;2.405;742.031004;27.880647500000197;14.752955000000076;10.155121500000009;3.9942776000001463;-0.4661094599999842;19.63418302571681;4.149425287356322;253.21325695234788;0.1072112534837794;1;-1;736.224018555021;6;3;0.35757066899816214;0.2994350282485876;0.288135593220339;0.4302043965388011;0.2705887791525094;0.12181696556419012;0.05201758329975863;1.0;0.0;0.2727272727272727;0.10344827586206896;0.9334259451359488;0.9335132995211344;0.901382211497043;0.9111213520025235
34;54;8.50094223;-64.4014282;88;748.08291624;5.5858027799999945;15.11503545000005;28.22864351999999;9.263183920000074;20;-63.884203;3.357;8.495004499999999;0.0382;6831.764;4.6125;87.93141749;3.604;747.560396;29.062216000000014;15.555263299999991;9.523669600000025;5.529391999999876;-0.5225202400000626;19.7843497729948;4.545454545454546;252.25045960568377;0.1066003581778052;1;1;740.5761739752289;6;4;0.3602109786884956;0.3050847457627119;0.288135593220339;0.43367127216215234;0.29641430101068145;0.12135377871277678;0.05136892144019996;1.0;1.0;0.2727272727272727;0.13793103448275862;0.9365120233828256;0.9378164383763965;0.9054909802544204;0.9094042182435226
34;55;8.44086075;-59.4837036;89;751.2366067500001;3.1536905100000467;15.245532910000064;29.20562124000014;8.739493290000041;21;-58.992398;3.729;8.4352799;0.0419;9281.873;4.951;88.936669058;4.003;750.7399110999999;29.94491109999991;15.85191109999991;8.708907099999836;3.1795150999999606;-0.4966956500002197;19.93394876854618;4.955056179775281;251.30214065515528;0.105999788000636;1;-1;744.6119875352388;6;5;0.36172921153020615;0.3107344632768362;0.288135593220339;0.43712504019239934;0.3231248930792844;0.12089755719289744;0.05073122302590817;1.0;0.0;0.2727272727272727;0.1724137931034483;0.93765307891293;0.9312294070818726;0.9085604510884603;0.907188600245828
34;56;8.40296555;-56.442627;90;756.2668994999999;5.0302927499998304;16.100801609999962;30.225860699999885;8.183983259999877;22;-55.800223;329.749;8.3957672;3.6639;8200.0834;329.766;89.940096;354.0;755.619048;30.85104800000007;16.56304800000007;8.058652000000118;4.879136900000158;-0.6478514999998879;20.08298850246508;5.377777777777778;250.36792333073143;0.1054092553389459;1;1;748.3421099854511;6;6;0.36405902146908087;0.3163841807909604;0.288135593220339;0.44056589663898443;0.35069105301797066;0.12044811974634137;0.050104182662828026;1.0;1.0;0.2727272727272727;0.20689655172413793;0.9403884664411934;0.9359936830256281;0.9117114380897454;0.905420334152762
